title,description,link,source
Live: WHO reports largest 24-hour increase in coronavirus cases,"The UN health agency recorded 183000 new cases, with Brazil and the US reporting the most new infections.",Al Jazeera English,https://www.news.google.com/./articles/CAIiEIB7nMsvc__ICee0HKKMZ8gqFAgEKgwIACoFCAowhgIwkDgw0O8B?hl=en-PK&gl=PK&ceid=PK%3Aen
Coronavirus: John Magufuli declares Tanzania free of Covid-19,"Tanzania's President John Magufuli has declared the country ""coronavirus-free"" thanks to prayers by citizens. ""The corona disease has been eliminated thanks ...",BBC News,https://www.news.google.com/./articles/CBMiLmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy93b3JsZC1hZnJpY2EtNTI5NjYwMTbSATJodHRwczovL3d3dy5iYmMuY29tL25ld3MvYW1wL3dvcmxkLWFmcmljYS01Mjk2NjAxNg?hl=en-PK&gl=PK&ceid=PK%3Aen
Coronavirus: Beijing spike continues with 36 new cases,"Beijing has recorded 36 new locally-transmitted coronavirus cases, amid fears of a second wave in the Chinese capital. Another 36 cases were also recorded on ...",BBC News,https://www.news.google.com/./articles/CBMiMmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy93b3JsZC1hc2lhLWNoaW5hLTUzMDQ2NDU00gE2aHR0cHM6Ly93d3cuYmJjLmNvbS9uZXdzL2FtcC93b3JsZC1hc2lhLWNoaW5hLTUzMDQ2NDU0?hl=en-PK&gl=PK&ceid=PK%3Aen
Canada reports 219 new coronavirus infections as two-thirds of overall cases recover,"Sunday's numbers raise the country's total number of lab-confirmed COVID-19 infections to 105516, while 8864 people have died.",Globalnews.ca,https://www.news.google.com/./articles/CBMiRGh0dHBzOi8vZ2xvYmFsbmV3cy5jYS9uZXdzLzcxNDA5MjEvY2FuYWRhLWNvcm9uYXZpcnVzLXVwZGF0ZS1qdWx5LTUv0gFIaHR0cHM6Ly9nbG9iYWxuZXdzLmNhL25ld3MvNzE0MDkyMS9jYW5hZGEtY29yb25hdmlydXMtdXBkYXRlLWp1bHktNS9hbXAv?hl=en-PK&gl=PK&ceid=PK%3Aen
Coronavirus Today - July 2,"As the Fourth of July holiday weekend nears, public health leaders worry about celebrating crowds and further coronavirus spread.",North Carolina Health News,https://www.news.google.com/./articles/CBMiTGh0dHBzOi8vd3d3Lm5vcnRoY2Fyb2xpbmFoZWFsdGhuZXdzLm9yZy8yMDIwLzA3LzAyL2Nvcm9uYXZpcnVzLXRvZGF5LWp1bHktMi_SAQA?hl=en-PK&gl=PK&ceid=PK%3Aen
Today's coronavirus news: Toronto reports lowest daily total of new cases since March; Trump entices Fourth of July crowds while infections rise; Florida sets another record for cases,Migrant workers hold protests across Canada; Raptors will scrimmage on July 24; Toronto Zoo reopens with safety precautions.,Toronto Star,https://www.news.google.com/./articles/CAIiEOOvFoqQneoqH5jphA1Jy1sqFwgEKg4IACoGCAow6bV4MPfJDDDB1MUF?hl=en-PK&gl=PK&ceid=PK%3Aen
"As Coronavirus Slams Houston Hospitals, It’s Like New York ‘All Over Again’","HOUSTON — Over the past week, Dr. Aric Bakshy, an emergency physician at Houston Methodist, had to decide which coronavirus patients he should admit to ...",The New York Times,https://www.news.google.com/./articles/CAIiED-q5BlflBECvkXoCJTosaQqFwgEKg8IACoHCAowjuuKAzCWrzwwqIQY?hl=en-PK&gl=PK&ceid=PK%3Aen
"Coronavirus pandemic accelerating, warns WHO head: Live","The global coronavirus pandemic is accelerating, with Thursday's 150,000 new cases the highest in a single day, World Health Organization (WHO) director ...",Al Jazeera English,https://www.news.google.com/./articles/CAIiEKHN1X0twWhxX4tsVwBRFjsqFAgEKgwIACoFCAowhgIwkDgw0O8B?hl=en-PK&gl=PK&ceid=PK%3Aen
Coronavirus updates: Surgeon General cautions that 'deaths lag at least two weeks' as cases rise in 40 states; 31 MLB players test positive,"Dr. Jerome Adams urging Americans to wear face masks, socially distance. Forty states have seen cases increase last two weeks. Latest on coronavirus.",USA TODAY,https://www.news.google.com/./articles/CAIiEHmqZGsv1jOcl-V1G5TEBoIqGQgEKhAIACoHCAowjsP7CjCSpPQCMKCK0wU?hl=en-PK&gl=PK&ceid=PK%3Aen
"Coronavirus in Brevard, July 5: 68 new cases, no new deaths reported","Here are updates about coronavirus cases in Brevard, according to the Florida Department of Health, as of July 5, 2020.",Florida Today,https://www.news.google.com/./articles/CAIiELwXGcmAo7ABdx7m-urEO9gqGQgEKhAIACoHCAowjsP_CjD2kPkCMMzt5wU?hl=en-PK&gl=PK&ceid=PK%3Aen
Broadway Actor Nick Cordero Dead at 41 of Coronavirus,"Nick Cordero, a musical theater actor whose intimidating height and effortless charm brought him a series of tough-guy roles on Broadway, died on Sunday at ...",The New York Times,https://www.news.google.com/./articles/CAIiEH7-cqV4r0RUC3cYKNJNKcAqFwgEKg8IACoHCAowjuuKAzCWrzwwhoEY?hl=en-PK&gl=PK&ceid=PK%3Aen
"Coronavirus LIVE Updates: Over 1 crore tests conduct..ar, says ICMR; Delhis COVID-19 cases cross 1 lakh mark","Coronavirus LIVE Updates: The Indian Council of Medical Research says Covid-19 tests in India have crossed the 1 crore mark. As many as 1,00,04101 tests ...",Firstpost,https://www.news.google.com/./articles/CAIiEFBTT8pq4YT3PhN7XB26_EwqGAgEKg8IACoHCAow5v6PATDrwA8wleW5Bg?hl=en-PK&gl=PK&ceid=PK%3Aen
Trump says U.S. has ‘made a lot of progress’ controlling the pandemic as the country logs 26th straight day of record average case totals,"President Trump said Saturday that his administration had “made a lot of progress” on controlling the novel coronavirus pandemic, even as the seven-day ...",The Washington Post,https://www.news.google.com/./articles/CAIiEEiI4da5FpYdEeIY301qBfkqGAgEKg8IACoHCAowjtSUCjC30XQw1o3TBg?hl=en-PK&gl=PK&ceid=PK%3Aen
"Delhi's coronavirus count nears 1-lakh mark, 2,244 fresh cases added today","Delhi's COVID-19 tally inched towards the grim milestone of 1 lakh. At least 2,244 people tested positive for the novel coronavirus in the last 24 hours. With this ...",Livemint,https://www.news.google.com/./articles/CAIiEEtEzLk5wr-UFGh-TLpVWvYqFwgEKg4IACoGCAowxLQ_MNevCDCyrdsG?hl=en-PK&gl=PK&ceid=PK%3Aen
"What you need to know about coronavirus on Friday, July 3",A version of this story appeared in the July 3 edition of CNN's Coronavirus: Fact vs. Fiction newsletter. Sign up here to receive the need-to-know headlines every ...,CNN,https://www.news.google.com/./articles/CAIiEOh2wdO3bSlvoleaFYJHmjoqGQgEKhAIACoHCAowocv1CjCSptoCMPrTpgU?hl=en-PK&gl=PK&ceid=PK%3Aen
"France reports over 1,500 new coronavirus cases: Live updates","Number of new cases is highest since May 30, way above daily average of 498 seen over the last seven days.",Al Jazeera English,https://www.news.google.com/./articles/CAIiEJU_G0M7W_LNVOGwIhHcdfQqFAgEKgwIACoFCAowhgIwkDgw0O8B?hl=en-PK&gl=PK&ceid=PK%3Aen
Texas Governor Says 'No Reason Today To Be Alarmed' As Coronavirus Cases Set Record,"Gov. Greg Abbott said Texas hospitals have ""abundant"" capacity. Mayors from the state's largest cities asked Abbott for the authority to require face masks amid ...",NPR,https://www.news.google.com/./articles/CAIiEP0_wRkF2tnY6tH6_dxqb8wqFggEKg4IACoGCAow9vBNMK3UCDCvpUk?hl=en-PK&gl=PK&ceid=PK%3Aen
"Coronavirus: What we know today, July 4","Follow this post for rolling updates on the impact of the coronavirus in South Australia, the nation and the world.",InDaily,https://www.news.google.com/./articles/CBMiTWh0dHBzOi8vaW5kYWlseS5jb20uYXUvbmV3cy8yMDIwLzA3LzA0L2Nvcm9uYXZpcnVzLXdoYXQtd2Uta25vdy10b2RheS1qdWx5LTQv0gEA?hl=en-PK&gl=PK&ceid=PK%3Aen
Beijing shuts schools over new coronavirus outbreak: Live updates,Officials in Chinese capital urge residents not to leave the city after new infections are detected.,Al Jazeera English,https://www.news.google.com/./articles/CAIiEC31lU6Bb_8ZIBglwo7yfo8qFAgEKgwIACoFCAowhgIwkDgw0O8B?hl=en-PK&gl=PK&ceid=PK%3Aen
Brazil and the U.S. Drive New Coronavirus Infections,Japan's workers have remained employed in large numbers despite a recession amid the pandemic. And President Trump said at a rally that he wanted to slow ...,The New York Times,https://www.news.google.com/./articles/CAIiEL0CECnaWnAKNbig_MPG-t8qFwgEKg8IACoHCAowjuuKAzCWrzwwpoEY?hl=en-PK&gl=PK&ceid=PK%3Aen
"Coronavirus: Australia's COVID-19 cases increasingly coming from communities, not overseas","Australia's new coronavirus cases are increasingly coming from within local communities rather than returning overseas travellers, the nation's Deputy Chief ...",9News,https://www.news.google.com/./articles/CAIiEE4nDiC7v_IC-EAyYGvHzeAqGQgEKhAIACoHCAowpLPzCjDR6IMDMOKTxwY?hl=en-PK&gl=PK&ceid=PK%3Aen
Trump Falsely Claims ‘99 Percent’ of Virus Cases Are ‘Totally Harmless’,"The president dismissed the severity of the pandemic, downplaying the effect of the disease even as infections surge across the Sunbelt and rebound in ...",The New York Times,https://www.news.google.com/./articles/CAIiEJUXNiJ-t4si7J9H7Wl971wqFwgEKg8IACoHCAowjuuKAzCWrzwwpoEY?hl=en-PK&gl=PK&ceid=PK%3Aen
239 Experts With One Big Claim: The Coronavirus Is Airborne,"The coronavirus is finding new victims worldwide, in bars and restaurants, offices, markets and casinos, giving rise to frightening clusters of infection that ...",The New York Times,https://www.news.google.com/./articles/CAIiEHxpYiHwRSmbYutoJ-iF_vUqFwgEKg8IACoHCAowjuuKAzCWrzwwt4QY?hl=en-PK&gl=PK&ceid=PK%3Aen
"Coronavirus's Genetics Not Changing Much, And That Bodes Well For A Vaccine : Shots - Health News","A coronavirus vaccine could become ineffective if the virus were to undergo certain genetic changes. But so far, so good: Scientists see no evidence that's ...",NPR,https://www.news.google.com/./articles/CAIiEJ2W7ewjmKduGs99zD17hvMqFggEKg4IACoGCAow9vBNMK3UCDCvpUk?hl=en-PK&gl=PK&ceid=PK%3Aen
WHO: Coronavirus currently hitting the Americas the hardest,"The current situation in Brazil, now a global hotspot for the virus, is of increasing concern, especially in cities.",Al Jazeera English,https://www.news.google.com/./articles/CAIiEERLu7iuYcurrknlAOlJ5vIqFAgEKgwIACoFCAowhgIwkDgw0O8B?hl=en-PK&gl=PK&ceid=PK%3Aen
Monday briefing: Arts sector hails coronavirus rescue package,Warning of long-term effects from 'mild' Covid-19 cases … Grenfell inquiry resumes but bereaved can't attend … and an audience with Tom Hanks.,The Guardian,https://www.news.google.com/./articles/CAIiEDVMdVhqD4xBRzDi6TEbOu4qFggEKg4IACoGCAowl6p7MN-zCTDlkko?hl=en-PK&gl=PK&ceid=PK%3Aen
Today's coronavirus numbers – July 4,What's new today: Tests administered pass the 1 million mark.,The Outer Banks Voice,https://www.news.google.com/./articles/CBMiTWh0dHBzOi8vd3d3Lm91dGVyYmFua3N2b2ljZS5jb20vMjAyMC8wNy8wNC90b2RheXMtY29yb25hdmlydXMtbnVtYmVycy1qdWx5LTQv0gEA?hl=en-PK&gl=PK&ceid=PK%3Aen
Coronavirus: Commission unveils EU vaccines strategy,"Today, to help protect people everywhere, the European Commission is presenting a European strategy to accelerate the development, manufacturing and ...",EU News,https://www.news.google.com/./articles/CBMiQGh0dHBzOi8vZWMuZXVyb3BhLmV1L2NvbW1pc3Npb24vcHJlc3Njb3JuZXIvZGV0YWlsL2VuL2lwXzIwXzExMDPSAQA?hl=en-PK&gl=PK&ceid=PK%3Aen
"In North Korea, Coronavirus Hurts More Than Any Sanctions Could","Closing the border with China crippled the regime's few remaining methods, legal and otherwise, for bringing in much-needed foreign currency.",The New York Times,https://www.news.google.com/./articles/CAIiEA5a-nE5ihwS857Y-WmMqAwqFwgEKg8IACoHCAowjuuKAzCWrzww9oAY?hl=en-PK&gl=PK&ceid=PK%3Aen
Coronavirus Today - July 1,"As North Carolina sees troubling increases in COVID-19 cases and hospitalizations, the decision on what the next school year looks like has been postponed.",North Carolina Health News,https://www.news.google.com/./articles/CBMiTGh0dHBzOi8vd3d3Lm5vcnRoY2Fyb2xpbmFoZWFsdGhuZXdzLm9yZy8yMDIwLzA3LzAxL2Nvcm9uYXZpcnVzLXRvZGF5LWp1bHktMS_SAQA?hl=en-PK&gl=PK&ceid=PK%3Aen
"Coronavirus US summary: cases, deaths and news - 19 June","Coverage of the Covid-19 pandemic in the United States: breaking news, updates and statistics as they emerged throughout 19 June 2020.",AS English,https://www.news.google.com/./articles/CBMiQmh0dHBzOi8vZW4uYXMuY29tL2VuLzIwMjAvMDYvMTkvbGF0ZXN0X25ld3MvMTU5MjUyMDI5MF85MDg2MTMuaHRtbNIBRmh0dHBzOi8vZW4uYXMuY29tL2VuLzIwMjAvMDYvMTkvbGF0ZXN0X25ld3MvMTU5MjUyMDI5MF85MDg2MTMuYW1wLmh0bWw?hl=en-PK&gl=PK&ceid=PK%3Aen
Governor Cuomo Updates New Yorkers on State's Progress During COVID-19 Pandemic,1.16 Percent of Yesterday's COVID-19 Tests were Positive. 11 COVID-19 Deaths in New York State Yesterday. Confirms 726 Additional Coronavirus Cases in ...,ny.gov,https://www.news.google.com/./articles/CBMibmh0dHBzOi8vd3d3LmdvdmVybm9yLm55Lmdvdi9uZXdzL2dvdmVybm9yLWN1b21vLXVwZGF0ZXMtbmV3LXlvcmtlcnMtc3RhdGVzLXByb2dyZXNzLWR1cmluZy1jb3ZpZC0xOS1wYW5kZW1pYy0z0gEA?hl=en-PK&gl=PK&ceid=PK%3Aen
Coronavirus: New cases in US top 25000 for fifth straight day — as it happened,Today's top stories: The spread of Covid-19 has gathered pace with the situation deteriorating markedly in Latin America. China bans shipments from US Tyson ...,Financial Times,https://www.news.google.com/./articles/CAIiEKiZIyu8YbvJzKqdforedTAqFwgEKg8IACoHCAow-4fWBzD4z0gw8tp6?hl=en-PK&gl=PK&ceid=PK%3Aen
Coronavirus question: Is a mask effective when you wear it just below your nose?,"NJ Advance Media has launched a daily coronavirus question, a *service* in which our reporters provide answers to commonly asked questions about the ...",NJ.com,https://www.news.google.com/./articles/CAIiEJt556k6quJhMUA273ZtTLcqGQgEKhAIACoHCAowr6T_CjD1tPgCMNKcpAY?hl=en-PK&gl=PK&ceid=PK%3Aen
"Tom Hanks on surviving coronavirus: 'I had crippling body aches, fatigue and couldn't concentrate'","The world's most relatable megastar talks about his Covid-19 experience, his fears for the future, and whether he's really just so gosh darned nice.",The Guardian,https://www.news.google.com/./articles/CAIiEHML15BPwNMS97oVQY9y9DcqFggEKg4IACoGCAowl6p7MN-zCTDlkko?hl=en-PK&gl=PK&ceid=PK%3Aen
Coronavirus: US reports record jump in new coronavirus cases — as it happened,Today's top stories: Pace of US jobless claims continues to slow. France to extend unemployment scheme for two years. Academics say antibody tests offer 'no ...,Financial Times,https://www.news.google.com/./articles/CAIiEDliRFHPA_96b7a6IURmGVoqFwgEKg8IACoHCAow-4fWBzD4z0gw8tp6?hl=en-PK&gl=PK&ceid=PK%3Aen
Florida and South Carolina Again Set Records as U.S. Coronavirus Cases Surge,"Southern officials warn of new clusters linked to bars and frat parties. Health officials feared the Trump campaign rally in Tulsa, Okla., could be a “superspreader” ...",The New York Times,https://www.news.google.com/./articles/CAIiEH74mtGSv39r7qHZKTxWQmAqFwgEKg8IACoHCAowjuuKAzCWrzwwpoEY?hl=en-PK&gl=PK&ceid=PK%3Aen
"As the coronavirus spread, two social media communities drifted apart",Researchers are exploring the tale of two online communities and their response to COVID-19: the r/Coronavirus and r/China_flu discussion boards on the ...,CU Boulder Today,https://www.news.google.com/./articles/CBMiZ2h0dHBzOi8vd3d3LmNvbG9yYWRvLmVkdS90b2RheS8yMDIwLzA3LzAyL2Nvcm9uYXZpcnVzLXNwcmVhZC10d28tc29jaWFsLW1lZGlhLWNvbW11bml0aWVzLWRyaWZ0ZWQtYXBhcnTSAQA?hl=en-PK&gl=PK&ceid=PK%3Aen
"Austin ICUs could be overrun in 10 days amid Texas coronavirus spike, mayor says","AUSTIN, Texas – Austin-area intensive-care units are in danger of being overrun in the next 10 days to two weeks if the number of people admitted to the ...",USA TODAY,https://www.news.google.com/./articles/CBMigwFodHRwczovL3d3dy51c2F0b2RheS5jb20vc3RvcnkvbmV3cy9uYXRpb24vMjAyMC8wNy8wNS9hdXN0aW4tdGV4YXMtY29yb25hdmlydXMtbWF5b3ItYWRsZXItc2F5cy1pY3VzLWNvdWxkLW92ZXJydW4tc29vbi81MzgxNDAyMDAyL9IBJ2h0dHBzOi8vYW1wLnVzYXRvZGF5LmNvbS9hbXAvNTM4MTQwMjAwMg?hl=en-PK&gl=PK&ceid=PK%3Aen
